emp_id	date_of_joining	quarter_of_joining	half_of_joining	year_of_joining	month_of_joining	month_name_of_joining	short_month	day_of_joining	dow_of_joining	short_dow	age_in_company_years
650770	8/11/2006	Q3	H2	2006	8	August	Aug	11	Friday	Fri	10.97
680938	8/23/2015	Q3	H2	2015	8	August	Aug	23	Sunday	Sun	1.93
549982	6/17/2013	Q2	H1	2013	6	June	Jun	17	Monday	Mon	4.12
261244	7/20/1983	Q3	H2	1983	7	July	Jul	20	Wednesday	Wed	34.05
322164	6/3/1999	Q2	H1	1999	6	June	Jun	3	Thursday	Thu	18.16
642447	10/18/1994	Q4	H2	1994	10	October	Oct	18	Tuesday	Tue	22.79
590040	5/21/2009	Q2	H1	2009	5	May	May	21	Thursday	Thu	8.19
866477	7/27/2017	Q3	H2	2017	7	July	Jul	27	Thursday	Thu	0.0
163114	6/12/2012	Q2	H1	2012	6	June	Jun	12	Tuesday	Tue	5.13
310014	11/7/1987	Q4	H2	1987	11	November	Nov	7	Saturday	Sat	29.74
648412	11/4/2013	Q4	H2	2013	11	November	Nov	4	Monday	Mon	3.73
857620	5/21/2014	Q2	H1	2014	5	May	May	21	Wednesday	Wed	3.19
128523	11/17/1998	Q4	H2	1998	11	November	Nov	17	Tuesday	Tue	18.71
837051	2/12/2014	Q1	H1	2014	2	February	Feb	12	Wednesday	Wed	3.46
887447	3/12/2016	Q1	H1	2016	3	March	Mar	12	Saturday	Sat	1.38
922004	1/4/2001	Q1	H1	2001	1	January	Jan	4	Thursday	Thu	16.57
158503	6/4/2007	Q2	H1	2007	6	June	Jun	4	Monday	Mon	10.16
468425	7/8/1995	Q3	H2	1995	7	July	Jul	8	Saturday	Sat	22.07
403651	3/1/2014	Q1	H1	2014	3	March	Mar	1	Saturday	Sat	3.41
113490	1/12/2008	Q1	H1	2008	1	January	Jan	12	Saturday	Sat	9.55
123999	7/30/2007	Q3	H2	2007	7	July	Jul	30	Monday	Mon	10.0
983486	9/1/2012	Q3	H2	2012	9	September	Sep	1	Saturday	Sat	4.91
492527	3/18/2009	Q1	H1	2009	3	March	Mar	18	Wednesday	Wed	8.37
965500	9/22/1996	Q3	H2	1996	9	September	Sep	22	Sunday	Sun	20.86
677859	4/27/2016	Q2	H1	2016	4	April	Apr	27	Wednesday	Wed	1.25
185040	11/3/1998	Q4	H2	1998	11	November	Nov	3	Tuesday	Tue	18.75
165793	6/18/2016	Q2	H1	2016	6	June	Jun	18	Saturday	Sat	1.11
916024	12/25/2016	Q4	H2	2016	12	December	Dec	25	Sunday	Sun	0.59
652779	10/12/2010	Q4	H2	2010	10	October	Oct	12	Tuesday	Tue	6.8
687184	4/2/2015	Q2	H1	2015	4	April	Apr	2	Thursday	Thu	2.32
453240	5/7/2011	Q2	H1	2011	5	May	May	7	Saturday	Sat	6.23
615367	9/9/2010	Q3	H2	2010	9	September	Sep	9	Thursday	Thu	6.89
613924	1/15/2017	Q1	H1	2017	1	January	Jan	15	Sunday	Sun	0.53
673602	4/3/2016	Q2	H1	2016	4	April	Apr	3	Sunday	Sun	1.32
173686	9/21/2012	Q3	H2	2012	9	September	Sep	21	Friday	Fri	4.85
264739	7/31/2003	Q3	H2	2003	7	July	Jul	31	Thursday	Thu	14.0
138694	12/5/2001	Q4	H2	2001	12	December	Dec	5	Wednesday	Wed	15.65
430875	12/6/2006	Q4	H2	2006	12	December	Dec	6	Wednesday	Wed	10.65
508854	5/1/2015	Q2	H1	2015	5	May	May	1	Friday	Fri	2.24
927388	1/24/1996	Q1	H1	1996	1	January	Jan	24	Wednesday	Wed	21.52
580822	3/29/2005	Q1	H1	2005	3	March	Mar	29	Tuesday	Tue	12.34
624171	2/22/1990	Q1	H1	1990	2	February	Feb	22	Thursday	Thu	27.45
927344	7/16/2017	Q3	H2	2017	7	July	Jul	16	Sunday	Sun	0.03
386500	11/10/2001	Q4	H2	2001	11	November	Nov	10	Saturday	Sat	15.72
228224	10/25/2005	Q4	H2	2005	10	October	Oct	25	Tuesday	Tue	11.76
914506	5/15/2017	Q2	H1	2017	5	May	May	15	Monday	Mon	0.2
972718	10/10/1998	Q4	H2	1998	10	October	Oct	10	Saturday	Sat	18.81
822331	10/24/2015	Q4	H2	2015	10	October	Oct	24	Saturday	Sat	1.76
197085	6/3/2007	Q2	H1	2007	6	June	Jun	3	Sunday	Sun	10.16
771055	9/2/2002	Q3	H2	2002	9	September	Sep	2	Monday	Mon	14.91
785659	5/11/2005	Q2	H1	2005	5	May	May	11	Wednesday	Wed	12.22
302763	7/2/1984	Q3	H2	1984	7	July	Jul	2	Monday	Mon	33.09
726248	4/15/2013	Q2	H1	2013	4	April	Apr	15	Monday	Mon	4.29
759808	12/7/2016	Q4	H2	2016	12	December	Dec	7	Wednesday	Wed	0.64
647213	12/29/2012	Q4	H2	2012	12	December	Dec	29	Saturday	Sat	4.58
170545	1/28/2016	Q1	H1	2016	1	January	Jan	28	Thursday	Thu	1.5
255218	6/19/2012	Q2	H1	2012	6	June	Jun	19	Tuesday	Tue	5.11
272735	7/21/2010	Q3	H2	2010	7	July	Jul	21	Wednesday	Wed	7.02
203140	8/19/1992	Q3	H2	1992	8	August	Aug	19	Wednesday	Wed	24.96
830574	7/25/2011	Q3	H2	2011	7	July	Jul	25	Monday	Mon	6.01
664460	1/18/2012	Q1	H1	2012	1	January	Jan	18	Wednesday	Wed	5.53
926340	4/28/1996	Q2	H1	1996	4	April	Apr	28	Sunday	Sun	21.26
214151	4/26/2009	Q2	H1	2009	4	April	Apr	26	Sunday	Sun	8.26
977385	3/12/2010	Q1	H1	2010	3	March	Mar	12	Friday	Fri	7.38
736472	10/24/2007	Q4	H2	2007	10	October	Oct	24	Wednesday	Wed	9.77
284937	1/16/2015	Q1	H1	2015	1	January	Jan	16	Friday	Fri	2.53
927474	8/27/1997	Q3	H2	1997	8	August	Aug	27	Wednesday	Wed	19.93
173881	6/25/2017	Q2	H1	2017	6	June	Jun	25	Sunday	Sun	0.09
952572	6/14/2001	Q2	H1	2001	6	June	Jun	14	Thursday	Thu	16.13
870724	10/19/2007	Q4	H2	2007	10	October	Oct	19	Friday	Fri	9.78
424140	8/12/1983	Q3	H2	1983	8	August	Aug	12	Friday	Fri	33.98
321815	3/20/2016	Q1	H1	2016	3	March	Mar	20	Sunday	Sun	1.36
308445	7/20/1991	Q3	H2	1991	7	July	Jul	20	Saturday	Sat	26.04
918509	2/17/2002	Q1	H1	2002	2	February	Feb	17	Sunday	Sun	15.45
972845	8/18/2011	Q3	H2	2011	8	August	Aug	18	Thursday	Thu	5.95
604151	9/12/2012	Q3	H2	2012	9	September	Sep	12	Wednesday	Wed	4.88
299513	3/20/2008	Q1	H1	2008	3	March	Mar	20	Thursday	Thu	9.36
782491	8/19/2011	Q3	H2	2011	8	August	Aug	19	Friday	Fri	5.95
722076	10/22/2015	Q4	H2	2015	10	October	Oct	22	Thursday	Thu	1.77
894744	10/2/2015	Q4	H2	2015	10	October	Oct	2	Friday	Fri	1.82
441998	7/14/2002	Q3	H2	2002	7	July	Jul	14	Sunday	Sun	15.05
421112	10/12/2015	Q4	H2	2015	10	October	Oct	12	Monday	Mon	1.79
673202	7/18/2015	Q3	H2	2015	7	July	Jul	18	Saturday	Sat	2.03
464270	11/21/2016	Q4	H2	2016	11	November	Nov	21	Monday	Mon	0.68
426018	1/26/2008	Q1	H1	2008	1	January	Jan	26	Saturday	Sat	9.51
581064	5/10/2012	Q2	H1	2012	5	May	May	10	Thursday	Thu	5.22
759032	7/22/1988	Q3	H2	1988	7	July	Jul	22	Friday	Fri	29.04
679076	4/30/2016	Q2	H1	2016	4	April	Apr	30	Saturday	Sat	1.24
388601	3/23/2017	Q1	H1	2017	3	March	Mar	23	Thursday	Thu	0.35
547145	2/25/2014	Q1	H1	2014	2	February	Feb	25	Tuesday	Tue	3.42
310285	12/29/2014	Q4	H2	2014	12	December	Dec	29	Monday	Mon	2.58
298803	10/30/2005	Q4	H2	2005	10	October	Oct	30	Sunday	Sun	11.75
631876	7/5/2012	Q3	H2	2012	7	July	Jul	5	Thursday	Thu	5.07
610321	8/1/2016	Q3	H2	2016	8	August	Aug	1	Monday	Mon	0.99
770782	1/19/2003	Q1	H1	2003	1	January	Jan	19	Sunday	Sun	14.53
504765	4/25/2016	Q2	H1	2016	4	April	Apr	25	Monday	Mon	1.26
116800	11/28/2005	Q4	H2	2005	11	November	Nov	28	Monday	Mon	11.67
738569	2/5/2016	Q1	H1	2016	2	February	Feb	5	Friday	Fri	1.48
661169	8/31/1985	Q3	H2	1985	8	August	Aug	31	Saturday	Sat	31.93
725933	1/31/1983	Q1	H1	1983	1	January	Jan	31	Monday	Mon	34.51
655801	6/8/2012	Q2	H1	2012	6	June	Jun	8	Friday	Fri	5.14
346877	6/4/2012	Q2	H1	2012	6	June	Jun	4	Monday	Mon	5.15
490050	5/21/2010	Q2	H1	2010	5	May	May	21	Friday	Fri	7.19
416395	7/26/2017	Q3	H2	2017	7	July	Jul	26	Wednesday	Wed	0.01
737379	10/12/2013	Q4	H2	2013	10	October	Oct	12	Saturday	Sat	3.79
586817	9/19/2011	Q3	H2	2011	9	September	Sep	19	Monday	Mon	5.86
169896	10/20/2016	Q4	H2	2016	10	October	Oct	20	Thursday	Thu	0.77
376392	6/30/2010	Q2	H1	2010	6	June	Jun	30	Wednesday	Wed	7.08
713032	11/26/1997	Q4	H2	1997	11	November	Nov	26	Wednesday	Wed	19.68
828382	10/8/1992	Q4	H2	1992	10	October	Oct	8	Thursday	Thu	24.82
956102	10/31/1987	Q4	H2	1987	10	October	Oct	31	Saturday	Sat	29.76
814106	2/27/2017	Q1	H1	2017	2	February	Feb	27	Monday	Mon	0.41
669253	6/13/2008	Q2	H1	2008	6	June	Jun	13	Friday	Fri	9.13
955963	4/2/2014	Q2	H1	2014	4	April	Apr	2	Wednesday	Wed	3.32
802898	12/30/2006	Q4	H2	2006	12	December	Dec	30	Saturday	Sat	10.58
495571	9/25/1994	Q3	H2	1994	9	September	Sep	25	Sunday	Sun	22.85
540586	2/5/2015	Q1	H1	2015	2	February	Feb	5	Thursday	Thu	2.48
591213	11/10/2016	Q4	H2	2016	11	November	Nov	10	Thursday	Thu	0.71
692816	2/18/2014	Q1	H1	2014	2	February	Feb	18	Tuesday	Tue	3.44
598642	3/30/1987	Q1	H1	1987	3	March	Mar	30	Monday	Mon	30.35
973966	9/11/2007	Q3	H2	2007	9	September	Sep	11	Tuesday	Tue	9.88
323301	2/29/2004	Q1	H1	2004	2	February	Feb	29	Sunday	Sun	13.42
429958	10/6/2011	Q4	H2	2011	10	October	Oct	6	Thursday	Thu	5.81
900295	7/29/2003	Q3	H2	2003	7	July	Jul	29	Tuesday	Tue	14.01
999307	4/10/2014	Q2	H1	2014	4	April	Apr	10	Thursday	Thu	3.3
368562	12/12/1985	Q4	H2	1985	12	December	Dec	12	Thursday	Thu	31.65
390131	6/7/2015	Q2	H1	2015	6	June	Jun	7	Sunday	Sun	2.14
709231	7/4/2016	Q3	H2	2016	7	July	Jul	4	Monday	Mon	1.07
692473	6/2/2016	Q2	H1	2016	6	June	Jun	2	Thursday	Thu	1.15
272721	5/18/1987	Q2	H1	1987	5	May	May	18	Monday	Mon	30.22
410558	10/30/2002	Q4	H2	2002	10	October	Oct	30	Wednesday	Wed	14.75
779736	10/22/1991	Q4	H2	1991	10	October	Oct	22	Tuesday	Tue	25.78
181048	3/19/2017	Q1	H1	2017	3	March	Mar	19	Sunday	Sun	0.36
835139	9/29/2015	Q3	H2	2015	9	September	Sep	29	Tuesday	Tue	1.83
583945	6/15/2003	Q2	H1	2003	6	June	Jun	15	Sunday	Sun	14.13
587185	1/17/1998	Q1	H1	1998	1	January	Jan	17	Saturday	Sat	19.54
494445	1/5/2015	Q1	H1	2015	1	January	Jan	5	Monday	Mon	2.56
810355	6/18/1994	Q2	H1	1994	6	June	Jun	18	Saturday	Sat	23.13
507960	6/1/2004	Q2	H1	2004	6	June	Jun	1	Tuesday	Tue	13.16
763972	6/17/1996	Q2	H1	1996	6	June	Jun	17	Monday	Mon	21.13
525091	10/31/2016	Q4	H2	2016	10	October	Oct	31	Monday	Mon	0.74
586144	11/23/2016	Q4	H2	2016	11	November	Nov	23	Wednesday	Wed	0.68
517988	5/9/1987	Q2	H1	1987	5	May	May	9	Saturday	Sat	30.24
938567	7/8/2009	Q3	H2	2009	7	July	Jul	8	Wednesday	Wed	8.06
678800	1/3/2000	Q1	H1	2000	1	January	Jan	3	Monday	Mon	17.58
624381	6/30/2010	Q2	H1	2010	6	June	Jun	30	Wednesday	Wed	7.08
584358	9/25/2016	Q3	H2	2016	9	September	Sep	25	Sunday	Sun	0.84
857620	6/3/2017	Q2	H1	2017	6	June	Jun	3	Saturday	Sat	0.15
840009	5/29/1990	Q2	H1	1990	5	May	May	29	Tuesday	Tue	27.18
924477	12/1/2012	Q4	H2	2012	12	December	Dec	1	Saturday	Sat	4.66
707888	4/12/2015	Q2	H1	2015	4	April	Apr	12	Sunday	Sun	2.3
536179	3/13/2014	Q1	H1	2014	3	March	Mar	13	Thursday	Thu	3.38
964177	1/26/2004	Q1	H1	2004	1	January	Jan	26	Monday	Mon	13.51
841069	3/16/2009	Q1	H1	2009	3	March	Mar	16	Monday	Mon	8.37
742590	4/22/2008	Q2	H1	2008	4	April	Apr	22	Tuesday	Tue	9.27
743373	4/30/2004	Q2	H1	2004	4	April	Apr	30	Friday	Fri	13.25
208159	1/27/2009	Q1	H1	2009	1	January	Jan	27	Tuesday	Tue	8.5
820109	10/20/2015	Q4	H2	2015	10	October	Oct	20	Tuesday	Tue	1.77
315984	3/27/1991	Q1	H1	1991	3	March	Mar	27	Wednesday	Wed	26.36
963789	5/12/2002	Q2	H1	2002	5	May	May	12	Sunday	Sun	15.22
662497	11/20/2011	Q4	H2	2011	11	November	Nov	20	Sunday	Sun	5.69
275344	3/30/2006	Q1	H1	2006	3	March	Mar	30	Thursday	Thu	11.34
863901	4/4/2015	Q2	H1	2015	4	April	Apr	4	Saturday	Sat	2.32
219318	7/19/2004	Q3	H2	2004	7	July	Jul	19	Monday	Mon	13.03
928084	8/19/1990	Q3	H2	1990	8	August	Aug	19	Sunday	Sun	26.96
879259	5/25/2013	Q2	H1	2013	5	May	May	25	Saturday	Sat	4.18
597129	4/12/2016	Q2	H1	2016	4	April	Apr	12	Tuesday	Tue	1.29
628012	9/13/2011	Q3	H2	2011	9	September	Sep	13	Tuesday	Tue	5.88
641526	11/6/2013	Q4	H2	2013	11	November	Nov	6	Wednesday	Wed	3.73
908555	5/22/2008	Q2	H1	2008	5	May	May	22	Thursday	Thu	9.19
778265	1/2/2010	Q1	H1	2010	1	January	Jan	2	Saturday	Sat	7.57
735028	8/29/2012	Q3	H2	2012	8	August	Aug	29	Wednesday	Wed	4.92
591722	6/3/2013	Q2	H1	2013	6	June	Jun	3	Monday	Mon	4.15
331253	7/18/2017	Q3	H2	2017	7	July	Jul	18	Tuesday	Tue	0.03
952106	7/24/1994	Q3	H2	1994	7	July	Jul	24	Sunday	Sun	23.03
579201	12/10/2008	Q4	H2	2008	12	December	Dec	10	Wednesday	Wed	8.64
949208	11/10/2015	Q4	H2	2015	11	November	Nov	10	Tuesday	Tue	1.72
905678	3/17/2016	Q1	H1	2016	3	March	Mar	17	Thursday	Thu	1.36
288427	12/27/2000	Q4	H2	2000	12	December	Dec	27	Wednesday	Wed	16.59
345118	5/7/1985	Q2	H1	1985	5	May	May	7	Tuesday	Tue	32.25
880569	10/9/2004	Q4	H2	2004	10	October	Oct	9	Saturday	Sat	12.81
474395	5/28/1998	Q2	H1	1998	5	May	May	28	Thursday	Thu	19.18
260436	10/19/2013	Q4	H2	2013	10	October	Oct	19	Saturday	Sat	3.78
229783	11/14/1991	Q4	H2	1991	11	November	Nov	14	Thursday	Thu	25.72
400221	2/17/2011	Q1	H1	2011	2	February	Feb	17	Thursday	Thu	6.45
118144	9/2/2008	Q3	H2	2008	9	September	Sep	2	Tuesday	Tue	8.91
327259	11/6/2008	Q4	H2	2008	11	November	Nov	6	Thursday	Thu	8.73
261764	5/10/2008	Q2	H1	2008	5	May	May	10	Saturday	Sat	9.22
571584	10/4/2002	Q4	H2	2002	10	October	Oct	4	Friday	Fri	14.82
951395	12/19/2004	Q4	H2	2004	12	December	Dec	19	Sunday	Sun	12.61
413384	10/16/1989	Q4	H2	1989	10	October	Oct	16	Monday	Mon	27.8
452244	2/6/2001	Q1	H1	2001	2	February	Feb	6	Tuesday	Tue	16.48
171678	7/26/2006	Q3	H2	2006	7	July	Jul	26	Wednesday	Wed	11.01
851298	5/27/1988	Q2	H1	1988	5	May	May	27	Friday	Fri	29.19
510975	2/15/2016	Q1	H1	2016	2	February	Feb	15	Monday	Mon	1.45
206703	5/12/2014	Q2	H1	2014	5	May	May	12	Monday	Mon	3.21
856273	2/18/2009	Q1	H1	2009	2	February	Feb	18	Wednesday	Wed	8.44
318089	11/28/2014	Q4	H2	2014	11	November	Nov	28	Friday	Fri	2.67
453137	12/10/2005	Q4	H2	2005	12	December	Dec	10	Saturday	Sat	11.64
791796	6/9/2011	Q2	H1	2011	6	June	Jun	9	Thursday	Thu	6.14
348024	3/28/2003	Q1	H1	2003	3	March	Mar	28	Friday	Fri	14.35
329977	9/27/2016	Q3	H2	2016	9	September	Sep	27	Tuesday	Tue	0.83
797439	8/23/2012	Q3	H2	2012	8	August	Aug	23	Thursday	Thu	4.93
817499	5/4/2017	Q2	H1	2017	5	May	May	4	Thursday	Thu	0.23
721206	9/24/2013	Q3	H2	2013	9	September	Sep	24	Tuesday	Tue	3.84
208499	4/29/2011	Q2	H1	2011	4	April	Apr	29	Friday	Fri	6.25
665226	7/23/2013	Q3	H2	2013	7	July	Jul	23	Tuesday	Tue	4.02
695928	11/13/2006	Q4	H2	2006	11	November	Nov	13	Monday	Mon	10.71
325970	1/17/2011	Q1	H1	2011	1	January	Jan	17	Monday	Mon	6.53
365071	6/12/2017	Q2	H1	2017	6	June	Jun	12	Monday	Mon	0.13
768964	5/17/2007	Q2	H1	2007	5	May	May	17	Thursday	Thu	10.21
180789	4/15/2016	Q2	H1	2016	4	April	Apr	15	Friday	Fri	1.28
923147	9/26/1987	Q3	H2	1987	9	September	Sep	26	Saturday	Sat	29.86
994679	6/11/2015	Q2	H1	2015	6	June	Jun	11	Thursday	Thu	2.13
659040	12/29/2004	Q4	H2	2004	12	December	Dec	29	Wednesday	Wed	12.59
963987	12/22/2000	Q4	H2	2000	12	December	Dec	22	Friday	Fri	16.61
771324	12/16/2012	Q4	H2	2012	12	December	Dec	16	Sunday	Sun	4.62
998903	1/2/2010	Q1	H1	2010	1	January	Jan	2	Saturday	Sat	7.57
833665	7/5/2016	Q3	H2	2016	7	July	Jul	5	Tuesday	Tue	1.06
818418	6/19/2016	Q2	H1	2016	6	June	Jun	19	Sunday	Sun	1.11
655312	9/26/2011	Q3	H2	2011	9	September	Sep	26	Monday	Mon	5.84
539745	6/2/2014	Q2	H1	2014	6	June	Jun	2	Monday	Mon	3.16
622089	7/10/1992	Q3	H2	1992	7	July	Jul	10	Friday	Fri	25.07
766677	5/9/2015	Q2	H1	2015	5	May	May	9	Saturday	Sat	2.22
299713	4/29/2009	Q2	H1	2009	4	April	Apr	29	Wednesday	Wed	8.25
379097	8/3/2006	Q3	H2	2006	8	August	Aug	3	Thursday	Thu	10.99
720547	7/8/2017	Q3	H2	2017	7	July	Jul	8	Saturday	Sat	0.05
361005	9/18/1998	Q3	H2	1998	9	September	Sep	18	Friday	Fri	18.87
355552	7/27/2016	Q3	H2	2016	7	July	Jul	27	Wednesday	Wed	1.0
773738	12/11/2015	Q4	H2	2015	12	December	Dec	11	Friday	Fri	1.63
708720	10/17/2013	Q4	H2	2013	10	October	Oct	17	Thursday	Thu	3.78
886522	9/1/2006	Q3	H2	2006	9	September	Sep	1	Friday	Fri	10.91
420058	1/31/2012	Q1	H1	2012	1	January	Jan	31	Tuesday	Tue	5.49
476125	1/18/2012	Q1	H1	2012	1	January	Jan	18	Wednesday	Wed	5.53
985202	6/12/2008	Q2	H1	2008	6	June	Jun	12	Thursday	Thu	9.13
188674	3/27/1991	Q1	H1	1991	3	March	Mar	27	Wednesday	Wed	26.36
612667	5/29/2008	Q2	H1	2008	5	May	May	29	Thursday	Thu	9.17
636027	5/3/1994	Q2	H1	1994	5	May	May	3	Tuesday	Tue	23.25
684637	1/2/2008	Q1	H1	2008	1	January	Jan	2	Wednesday	Wed	9.58
287703	10/16/2016	Q4	H2	2016	10	October	Oct	16	Sunday	Sun	0.78
976997	6/2/2015	Q2	H1	2015	6	June	Jun	2	Tuesday	Tue	2.16
738683	4/2/1991	Q2	H1	1991	4	April	Apr	2	Tuesday	Tue	26.34
682989	10/14/2016	Q4	H2	2016	10	October	Oct	14	Friday	Fri	0.79
501334	5/12/2012	Q2	H1	2012	5	May	May	12	Saturday	Sat	5.21
160938	4/25/2006	Q2	H1	2006	4	April	Apr	25	Tuesday	Tue	11.27
551207	7/8/2015	Q3	H2	2015	7	July	Jul	8	Wednesday	Wed	2.06
794893	12/9/1982	Q4	H2	1982	12	December	Dec	9	Thursday	Thu	34.66
577063	1/7/2011	Q1	H1	2011	1	January	Jan	7	Friday	Fri	6.56
358082	4/24/2013	Q2	H1	2013	4	April	Apr	24	Wednesday	Wed	4.26
833190	8/13/2016	Q3	H2	2016	8	August	Aug	13	Saturday	Sat	0.96
856621	3/22/2003	Q1	H1	2003	3	March	Mar	22	Saturday	Sat	14.36
271592	5/31/1994	Q2	H1	1994	5	May	May	31	Tuesday	Tue	23.18
789099	6/11/2014	Q2	H1	2014	6	June	Jun	11	Wednesday	Wed	3.13
190354	11/24/1999	Q4	H2	1999	11	November	Nov	24	Wednesday	Wed	17.69
330052	6/24/2009	Q2	H1	2009	6	June	Jun	24	Wednesday	Wed	8.1
825280	2/17/2013	Q1	H1	2013	2	February	Feb	17	Sunday	Sun	4.44
430745	6/12/2017	Q2	H1	2017	6	June	Jun	12	Monday	Mon	0.13
450593	4/18/2017	Q2	H1	2017	4	April	Apr	18	Tuesday	Tue	0.28
581026	10/30/2000	Q4	H2	2000	10	October	Oct	30	Monday	Mon	16.75
723502	6/10/2000	Q2	H1	2000	6	June	Jun	10	Saturday	Sat	17.14
151891	1/5/2013	Q1	H1	2013	1	January	Jan	5	Saturday	Sat	4.56
385559	4/24/2015	Q2	H1	2015	4	April	Apr	24	Friday	Fri	2.26
267484	2/5/2008	Q1	H1	2008	2	February	Feb	5	Tuesday	Tue	9.48
706977	5/1/2011	Q2	H1	2011	5	May	May	1	Sunday	Sun	6.25
429858	10/24/2012	Q4	H2	2012	10	October	Oct	24	Wednesday	Wed	4.76
513702	11/5/2015	Q4	H2	2015	11	November	Nov	5	Thursday	Thu	1.73
742376	6/22/2016	Q2	H1	2016	6	June	Jun	22	Wednesday	Wed	1.1
941317	12/7/2016	Q4	H2	2016	12	December	Dec	7	Wednesday	Wed	0.64
941638	2/7/2012	Q1	H1	2012	2	February	Feb	7	Tuesday	Tue	5.47
602412	10/29/2000	Q4	H2	2000	10	October	Oct	29	Sunday	Sun	16.76
144086	11/29/1998	Q4	H2	1998	11	November	Nov	29	Sunday	Sun	18.67
424176	7/12/1985	Q3	H2	1985	7	July	Jul	12	Friday	Fri	32.07
477253	7/30/2004	Q3	H2	2004	7	July	Jul	30	Friday	Fri	13.0
242322	11/20/1996	Q4	H2	1996	11	November	Nov	20	Wednesday	Wed	20.7
124449	4/11/1998	Q2	H1	1998	4	April	Apr	11	Saturday	Sat	19.31
263830	6/12/2014	Q2	H1	2014	6	June	Jun	12	Thursday	Thu	3.13
950645	8/9/2009	Q3	H2	2009	8	August	Aug	9	Sunday	Sun	7.97
